ingr_descr_eng,ingr_code
Tomato,2570
Honey,30
"Õnne' multigrain bread, Eesti Pagar",86185
"Tea, ready to drink, without sugar",9010
"Cheese, on average, 25%-26% fat (Farmi cheeses, Valio 'Atleet Original' and 'Eesti Juust')",5230
"Butter, 80%-82% fat (type 'Farmi', 'Tere', 'Saaremaa', 'Valio')",4000
"Buckwheat, dry ingredient",1610
Water,9150
Apple,3000
Potato dressing ('Felix'),4235
"Potato, raw",2040
Rape seed oil (type 'Olivia'),4090
"Sweet pepper / Bell pepper / Capsicum, on average",2592
"Juice concentrate, with sugar",3510
"Pork, striploin, raw (type 'Rakvere', 'Maks & Moorits')",6090
Stawberry jam,8212
"Chocolate coated quark, vanilla, 21% fat (type 'Farmi')",8313
Kuldne' classic toast bread ('Leibur'),86445
Weetabix' breakfast cereal,1960
"Milk, 2,5% fat, on average",8200
Banana,3360
"Dumplings, with mixed minced meat",8289
Apple juice,3010
"Ice cream, 10% fat (type 'Balbiino')",8789
Ruks' rye bread ('Leibur'),86423
"Olive oil, cold-pressed or hot-pressed",4100
Iceberg lettuce,2385
Cucumber,2520
"Ice cream, 15% fat, in waffle cone (type 'Premia')",8788
Sugar,10
Cinnamon / Cassia,8526
Rukkipala' rye bread ('Leibur'),8600
"Cheese spread, 18,5% fat (type Tere 'Merevaik')",8790
"Rice, polished, dry ingredient",1570
Soya protein,1730
"Juice, on average",3120
"Quark cream, cocoa, 4% - 5% fat (type 'Valio', Tere 'Emma')",5165
Ketchup,2660
"Youghurt, unflavoured, 2,5% - 3% fat ( type 'Farmi', 'Valio', 'Tere' incl. 'Natural',)",5070
"Canned tuna, with water",7440
Garlic,2438
"Pasta, dry ingredient",1160
Onion,2430
"Spinach, frozen",8369
"Mixed cereal rolled grains: rye, oat, wheat, barley",1340
Brown sugar,8528
Raffaello' coconut confection,192
"Sour cream, 20 % fat",8203
"Root beer drink, without alcohol",8559
Salt,9410
Baking powder,8537
Wheat flour,1100
Orange juice,3180
"Egg, raw",8030
"Chocolate-coated ice cream, on a stick (type Premia 'Väike Tom')",8794
"Pork meat, collar / chops, raw (type 'Rakvere', 'Oskar', 'Saaremaa', from culinary counter)",6011
"Dill, fresh",2790
Chives,2441
Blueberries,3420
"Juice drink, on average",3182
"Mixed minced meat, raw, 15% fat",6210
"Sour cream, 10% fat (type 'Farmi', 'Tere', 'Valio')",8476
Yeast,9450
"Lemonade / Soda, fruit-flavoured",9100
"Semolina, wheat, dry ingredient",1120
Potato starch,1620
"Oil, on average",4150
Potato flakes,2051
"Milk powder, 1% fat",5450
Wheat gluten,1245
Tomato puree,2580
Mustard,2670
"Pork, ribs, with bones, raw",6030
"Chicken leg, smoked (type 'Tallegg')",6521
Cocoa powder,60
"Milk, 4,2% fat",5000
"Oat rolled grains / Oatmeal, raw",1540
Lemon / Lime,3193
"Potatoes, boiled",2010
Caramel candy,40
"Glycose, powder",111
Breadcrumbs,8729
"Egg white / Albumen, raw",8020
"Chicken meat, mechanically deboned, raw",6465
"Chicken skin, raw",6464
"Sausage 'Laste', Vastse-Kuuste",85865
"Röst', multigrain bread ('Leibur')",86638
Coco Pops breakfast cereal,8539
"Milk, 3,5% fat, with vitamin D (type 'Tere')",8198
"Bouillon powder, vegetable",8425
Cooked sausage,6620
"Toasting bread, Fazer",86178
"Pork minced meat, raw, 22,5% fat",8527
"Rye bread, average",8205
"Biscuit, plain, Kalev",86210
"Margarine spread, 40% fat",4380
"Margarine spread, 50% fat",8545
"Sausage 'Laste', Rakvere",85868
"Pork, on average, raw",6000
Mandarin orange / Mandarine / Clementine / Tangerine,3301
"Chocolate coated quark, vanilla, 18% fat (type Tere 'Classic')",8309
Moskva pastry,8792
"Milk, 2,5% fat, with vitamin D (type 'Tere')",8199
Shortcrust pastry with quark filling,86524
"Beef, on average, raw",6200
"Pork, fatback, raw",6080
"Lemon juice / Lime juice, fresh",3194
"Pineapple, canned, drained",3290
"Cabbage, white",2300
Carrot,2110
Vichy' mineral water,9160
Watermelon,3221
Rukkitasku' rye bread ('Eesti Pagar'),87034
"Frankfurter / big frankfurter, boiled",8218
"Milk, 3,5% fat (type 'Farmi', 'Tere', 'Valio')",8669
"Milk, 3,9% fat",5010
"Fish sticks, frozen",8506
"Apple, peeled",8396
"Frankfurter / big frankfurter, raw",6640
Maias' raisin bun ('Leibur'),86451
"Pasta, boiled",1170
"Broiler gizzard, raw (type 'Tallegg')",6840
"Chicken, with skin, raw (type 'Tallegg', 'Rannamõisa')",6454
"Beef minced meat, raw, 7% fat",6980
Leek,2450
Parsley root,8363
Popcorn,1460
Vanilla sugar,8701
"Condensed milk, with sugar",8290
"Sausage 'Laste', Max & Moorits",85863
"White bread / Wheat bread (type 'Leibur', 'Fazer', 'Eesti Pagar')",8225
"Chicken, with skin, cooked",8337
"Oil dressing for salads, 80% fat",8352
Grapes,3230
Apricot,8433
"Coffee, ready-to-drink, without sugar",9000
Well water,9150_3
"Rusk, with wheat flour",1280
"Sausage 'Laste', Wõro",85866
"Kefir / Kephir, 2,5% fat (type 'Farmi', 'Tere', 'Valio')",5050
Peas,1850
Nutella chocolate-hazelnut spread,8281
"Praline candy, with grain mix (type Kalev 'Komeet')",8786
Cookie Crisp breakfast cereal,86570
Praline candy (type Kalev 'Kaevur'),8783
Multigrain bread,1080
"Margarine, for cooking and baking, 80% fat, fortified",4040
Swede / Rutabaga / Swedish turnip / Yellow turnip,2200
Multigrain bread,8223
Kama flour (type 'Pere'),1550
"Ice cream, 12% fat, in wafer cone",5420
"Milk, 1,5% fat",8210
"Jam, on average",3500
Gingerbread,8252
"Chicken minced meat, delicacy, raw (tüüp 'Tallegg')",6468
Beets,2140
"Milk, lactose-free, 1,5% fat (type 'Valio')",5192
"Cooked ham, pork, light",8493
"Sausage 'Laste', light, Rakvere",85916
"Gherkin,marinated, canned",2530
"Mayonnaise, 41,5% fat (type Felix 'Classic')",4231
"Cream Youghurt with jam, 5,0% fat",8563
Sauerkraut / Sour cabbage,2301
"Pork, shoulder, raw (type 'Rakvere', 'Maks & Moorits')",6180
"Barley grain, pearled",1510
"Juice, diluted",9210
"Marmelade candy, chocolate coated",8268
"Chicken breast, raw (tüüp 'Tallegg')",6457
Squash / Zucchini / Marrow,2781
Cauliflower,2330
"Corn, canned",8233
"Praline candy, with peanuts (type Kalev 'Teekonna')",8785
Fruit gums  / Fruit jellies / Jelly candies / Jelly sweets,8256
White bread,8207
Apple jam,8273
Kodune' multigrain bread ('Leibur'),86174
"Mustard, mild",2670_1
Green onion,8231
Hamburger bun ('Leibur'),86453
"Cheese spread, slices",8269
"Peanuts, roasted, with salt",8358
"Pork meat, collar / chops, grilled / barbecued",6012
"Pumpkin, marinated",2561
Toffee candy,8558
Biscuit / Cookie,8430
"Parmesan cheese, 30% fat",8491
"Taluvõie fat blend, 72% fat (type 'Farmi', 'Tere')",4010
Rhubarb,2460
"Margarine spread, 60% fat",4390
Green beans / Snap beans / Wax beans / String beans / French beans,1860
Dry yeast,8538
"Beef, brisket raw",6260
Pickled gherkin,2531
"Youghurt mayonnaise, 15% fat",8596
"Peas, canned, drained",8232
"Plum nectar (type 'Aura', 'Põltsamaa', 'Largo')",8306
"Ice cream, with vegetable fat, 8% fat",5401
Smoked ham,6350
"Margarine spread, 39% fat, vitamin-enriched",8664
"Egg, boiled",8204
"Chicken fillet, cooked",8338
"Potato, with peel, boiled, (not peeled), with salt",2001
"Barbeque sausage, 20% fat",6651
"Muesli, with chocolate, banana, raisin (type 'Awake')",1651
"Cocoa powder / Hot chocolate, instant, with sugar",61
Domino biscuit / cookie,8567
"Spelt flour, wholemeal",1201
"Chocolate coated quark, vanilla, 23% fat (tüüp 'Karums')",8315
"Basil, fresh",2383
"Wild boar meat, raw",8287
Tomato paste,8370
"Parsley, fresh",2410
"Champignons, fresh",8443
"Cheese, low-fat (15% fat)",8576
Sunflower seeds,1971
"Tomatoes, sun-dried, in oil, drained",2572
"Multigrain bread 'Südame', Fazer",86179
Xylitol (E967),140
"Quark cream, with raisins, 4% - 6% fat (type 'Farmi', 'Tere', incl. 'Emma', 'Valio')",86131
"Liver pate, from pig liver, 7% fat",8230
Chinese cabbage / Napa cabbage / Celery cabbage / Peking cabbage,2640
"Saccharine, tablets (E954)",150
Corn flakes,1630
"Mayonnaise, 65% fat",8604
Gelatin,8536
"Pork, bacon, raw (type 'Rakvere', 'Maks & Moorits')",6070
"Cranberry juice (type 'Aura', 'Põltsamaa', 'Largo')",3411
"Cream cheese, 14% fat",8489
Raspberries,3480
"Black Pudding / Blood Pudding / Blood Sausage, raw, 18% fat",8743
Root celery,2180
"Beef, chuck, raw  (type 'Rakvere', 'Maks ja Moorits')",6220
"Butter and vegetable oil mix, 40% fat",4370
Leaf lettuce,2380
"Blueberries, frozen",8261
Sunflower oil,4140
Juubeli' cake pre-mix (dry),8679
"Pudding, 4,1% fat",5480
Bottled drinking water,9150_6
Smoked sausage,8211
"Mayonnaise, 33,4% fat",4240
"Quark cream, with jam, 2,5% fat (type 'Tere')",86137
Juice ice cream,8461
"Mayonnaise, 25% fat",8523
Sugar syrup,20
"Ice cream, 12% fat",5400
"Banana, with peel",3280
Redcurrants,3450
"Ice cream, 15% fat (type 'Premia')",8787
Whole grain breakfast cereals,1961
Muesli,1650
Kirde' white bread ('Leibur'),86173
"Pork liver, raw",6820
Tallinn' fine rye bread ('Leibur'),86168
"Yeast pastry, baked",8754
"Youghurt drink, with berries or fruit, 2,1% fat (type 'Farmi')",8761
"Youghurt, with berries or fruit, 2,5% fat (type Tere 'Hellus')",86139
"Chicken, without skin, raw",6455
"Mayonnaise, 62% fat (type Felix 'Special')",4234
Pear,3020
Whole wheat flour,1110
"Peach, canned",3100
"Whipping cream, 35% - 38% fat (type 'Farmi', 'Tere', 'Valio')",8202
"Youghurt, with berries or fruit, 4% fat (type 'Farmi')",8765
Chocolate spread,8285
"Fish, fresh, on average",7250
"Peach / Nectarine, with stone",3091
Ice tea,8652
Sweet wheat stick,8656
Cheese crackers,8251
"Drinking Youghurt, berry or fruit-flavoured, 2,2% fat (type 'Farmi')",8759
"Hard pretzel, with poppy seeds",1282
Orange,3350
Strawberries,3470
Oatmeal biscuit (type 'Kaera-Ants'),8755
"Caramel candy, sour",8532
Mississipi mud cake,86592
Aqua' mineral water,9250
"Voimix, 80% fat",4030
"Swiss roll, industry-made",8522
Cranberries,3410
"Bouillon powder, chicken",8423
Kringle,8226
"Bouillon powder, meat",8422
"Chicken ham, 3% fat (type 'Tallegg')",6577
Baton candy,8556
"Quark cream, vanilla, 4% - 6% fat (type 'Farmi', Tere 'Emma')",8777
"Black rye bread with seeds, Fazer",8601
"Youghurt, two-part, with various cereal, 3,8% fat (type Tere 'Mumuu')",86115
"Youghurt dessert, with berries or fruit, 2,5% fat (type 'Valio')",5712
"Puffed wheat, chocolate coated (type Fazer 'Kina')",8270
"Quark / Curd cheese, light, 0,5% fat (type 'Farmi', Tere', 'Valio', 'Armas', 'Kelmes')",5160
Raisins,3240
Rye bread with malt,8222
Chicken sausage (type 'Tallegg'),6567
"Youghurt drink, with berries or fruit, 1,3% fat (type Valio 'A+B')",86149
"Green tea, infusion",9011
Puffed rice textured bread,8521
Still bottled drinking water,9150_7
"Berries, on average",3520
"Black olives, canned",8357
"Boston gherkins, marinated",8372
"Champignons, canned",2510
Head lettuce,2390
Radish,2150
"Drinking Youghurt, with berries or fruit, 1,5% fat (type 'Valio', 'Tere')",8546
Cream candy,190
"Rusk, with whole grain wheat flour",1250
Halvah / Halva / Halavah,8263
Marmelade candy,8254
"Flavoured water (type A Le Coq'i 'Aura Fruit', 'Bonaqua Fruits')",9252
Cod liver oil,8291
Saib' brown bread ('Leibur'),1211
"Gouda cheese, 30% fat",5330
"Biscuit, cocoa, Kalev",86211
"Cottage cheese, 4,0% - 5,0% fat (type 'Farmi', 'Ekstra', 'Tere', 'Valio')",8240
"Strawberries, frozen, without sugar",8234
"Herbal tea, ready to drink, without sugar",9090
Wafer ice cream cup,5430
"Milk ice cream, 6% fat",5410
Plum,3041
"Kissel powder, cranberry flavoured (type Mikaado 'Miku')",8351
"Youghurt, with berries or fruit, 2% fat (type 'Valio', sh. 'Gefilus', Tere 'Meloodia')",5072
"Home-style burger minced meat mix, (type 'Rakvere')",6215
"Marianne candy, Fazer",8257
"Salt, iodised",9411
"Minced pork, raw, 7% fat (type 'Rakvere')",6211
Peach / Nectarine,8238
"Almonds, blanched",1780
Wholemeal white bread,1210
"Butter, without salt, 80% fat",4320
"Chocolate coated quark, vanilla, 9 % fat (type Tere 'Emma')",8314
"Frankfurter 'Lihakas', 75% meat, Rakvere",6643
Kiwifruit / Chinese gooseberry,3320
Carbonated natural mineral water,9160_4
"Crushed tomatoes, canned",8362
"Broiler heart, raw (type 'Tallegg')",6870
"Õnne' white bread, Eesti Pagar",86184
"Õnne' rye bread, Eesti Pagar",86183
Chewing candy (type 'Draakon'),191
"Watermelon, with rind",3220
Crackers,8247
Assorted sweets,8557
Leibö' rye bread ('Leibur'),86439
"Peas, dried",1710
"Chicken half-wings, cooked, ready-to-eat (type 'Tallegg')",6574
Fermented tea infusion,9010_1
Hamburger dressing ('Felix'),4236
"Mandarin orange / Mandarine / Clementine / Tangerine, with peel",3300
Kuldne' wholemeal toast bread ('Leibur'),86446
Cereal bar,8695
"Apple, dried",3340
"Apricot, dried",3070
"Chicken leg, with skin, raw (type 'Tallegg')",6462
Raisin and nut mix,8310
"Smoked pork ham, 10% fat (type 'Nõo')",8780
"Milk, 3,2% fat",8201
Raspberry jam,8214
"Milk chocolate, with nuts (type Kalev 'Kalevipoeg', 'Linda')",8773
"Coffee cream, 10% fat (type 'Farmi', 'Tere', 'Valio')",5151
"Rye bread, on average",8221
"Dip, 19,5% fat, Tere  tzadzik, mixture of spices",86152
Plum jam,8275
Lingonberry jam,3660
"Salmon, fresh",7190
"Butter, very salty, 80% fat",4330
Salty nuts,1922
Crunchy Nut breakfast cereal,8540
"Pastille, fruit flavoured",80
Lollipop,8255
Rehe' rye bread,86499
Cooked ham,6160
Broccoli,2340
Corn / Maize,8453
"Candy with a mixture of sugar, syrup, and flavourings, chocolate coated",8267
Sesame seed oil,4160
Chicken Thai Wok seasoning mix,8713
"Egg noodles, dry ingredient",8518
"Cheese spread, light, 14% fat (type 'Farmi')",5385
Wholemeal bread,1091
"Cola-drinks, diet (with sweetener)",9103
"Half-smoked sausage, 15% fat (type Vastse-Kuuste 'Jahimees')",86471
Cola-drinks,9102
Wholemeal cookie,1230
Pansalt,9430
Õige Must' rye bread ('Leibur'),86426
Classic whole grain rye bread ('Leibur'),86433
"Turkey thigh, without skin, raw",6763
Digestive / Sweetmeal biscuit,8520
"Cream cheese, 30% fat (type 'Farmi')",5382
Lemon zest / Lemon peel,8376
"Canned tuna, with oil",7270
Pineapple,3160
Biscuits with raisins (type 'Tallinn'),1231
"Youghurt drink, with berries and fruit, 1,2% fat (type Valio 'Gefilus')",86165
"Multigrain bread, Fazer",86181
"Oatmeal biscuit (Jyväshyvä, Kalev)",8565
"Millet groats, dry ingredient",1600
"Oatmeal biscuit, with chocolate glaze (type 'Kalev')",8797
Persimmon / Kaki fruit / Sharon fruit / Date-plum,8410
Marshmallow,8279
Espresso coffee drink,86226
Blackcurrants,3440
"Quark cream, plain, 5% fat (type 'Tere')",8571
Filtered tap water,9150_2
Letcho,8304
"Duck, without skin, raw",8495
"Peas, frozen",1870
"Chicken, with skin and bones, raw",6456
"Sesame seeds, peeled",1810
"Juice, lemon",3194_1
Snickers' chocolate bar,8686
"Reindeer meat roast, raw",6440
"Sausage, 'Laste', Saaremaa",85917
"Mineral water, high mineral content (type 'Borjomi', 'Häädemeeste')",9251
Triinu' rye bread ('Leibur'),1093
"Praline candy, chocolate cream flavoured (type 'Kalev')",51
Blackcurrant jam,8216
Barley flour,1500
Groundcherry,8409
Rowanberries,3430
"Egg, with shell, raw",8000
"Breakfast cereal, pillows with milk-flavoured filling",1632
Twix' chocolate bar,8685
"Milkshake, Mcdonald's",M20
"Sausage 'Doktori', Nõo",85922
"Chocolate, dark, 70% cocoa (type 'Kale', 'Laima')",54
Corn chips,8258
"Pork rind, snack",8292
"Quark, salty, in a box, 2,1% fat",8320
"Salmon, salted",7360
"Bacon, smoked",6071
"Sweet pepper / Bell pepper / Capsicum, red",2590
Gooseberries,3460
Meat pâté,8342
"Butter and vegetable oil mix, 80% fat",4290
"oYghurt, with probiotic bacteria, with berries, fruit and muesli, 2,6% fat (type Danone 'Activia ')",86218
Frosties breakfast cereal,8541
"Muffin batter, baked",8640
"Wafer candy, chocolate coated",8253
"Puffed wheat grains with honey, 10 vitamins, breakfast cereals",8663
Biscuit with filling,8248
"Chicken ham, 1% fat (type 'Tallegg')",6564
"Cooked sausage 'Laste', fillet, Rannarootsi",85921
Soya sauce,2800
"Youghurt, unflavoured, 0,5% fat",8479
"Herring fillet, traditional, in oil (type 'Vici')",7041
"Wine, alcohol-free",9190
"Prune / Plum, dried",3051
Hazelnuts,1930
"Mixed fruit, dried",3150
"Pork, class O, raw",6002
"Parsley, dried",2411
Poppy seeds,8293
Pizza kringle,86474
"Couscous, cooked",8579
"Juice drink, diluted, without sugar",9230
"Beef liver, raw",6810
"Mesikäpp' chocolate, Kalev",8575
"Black bread, Europagar",86113
"Sausage, 'Laste', Saaremaa, sliced",85864
"Fruit Youghurt, 2,5% fat",8241
"Pork, shoulder with rind, raw (type 'Rakvere')",6181
"Black pepper, crushed or ground",8703
"Vinegar, distilled",9460
Ham sausage,8504
Cherry nectar,3685
Potato puree powder,2050
Bun with whipped cream,87030
"Blackcurrant juice, diluted",9211
Marie biscuit,8249
"Sausage 'Laste', Valla, Rakvere",85918
"Whole grain rice, dry ingredient",1660
TUC' salted crackers,8687
"Sour milk drink, with berries, 2,2% fat (type Valio 'Gefilus', Tere 'Haps')",86119
Asian-style noodles other than glass noodles,8518_1
Meat extract,8422_2
Vegetable savoury extracts,8425_1
"Pork, from leg, raw (type 'Rakvere')",6041
Pro-Fx Recovery sports drink,56
"Jassi' bread with seeds, Eesti pagar",86114
"Beans, brown, boiled",1881
"Fried sauerkraut, canned, Salvest",2302
"Blood sausage, 6% fat, raw",8206
"Kiwifruit, with peel",3321
"Herring, salted",7040
"Sweet bun, Maias ('Leibur')",85614
Crab stick,8334
Sweet bun (type Leibur 'Maias'),14261
"Drinking Youghurt, with probiotic bacteria, with berries and fruit, 2,1% fat (type Danone 'Activia')",86219
Minced meat seasoning,8698
Chicken pâté,8344
"Mixed fruit, canned",3030
"Wafers, with cream",8283
"Milk powder, 26% fat",5440
"Muesli, with dried fruit and nuts (type 'Veski Mati')",1652
Classic cheese bun ('Leibur'),86452
"Cheese, high fat (31% fat)",5240
"Beef, salted",6280
Romaine / cos lettuce,2384
"Anchovies, canned, in oil",7381
Worcester sauce,2671
"Ciabatta, white (type 'Hagar')",8224
Pomelo / Pummelo / Pommelo,3371
Pomegranate juice,8398
Honey Cheerios breakfast cereal,86576
"Chocolate coated quark vanilla, 13% fat (type 'Valio')",8312
"Youghurt, with berry or fruit jam, 3,2% fat (type 'Farmi')",8767
"Cheese spread, 28% fat (type Valio 'Atleet')",5370
"Youghurt, 7% fat",8477
"Sandwich spread, with Youghurt, unflavoured, 22% fat (type Rama 'Creme Bonjour')",5386
Blue cheese,5350
"Salad dressing, 20% fat (type 'Farmi')",8190
"Beets, marinated, without fluid",2210
"Chocolate dragees, sugar coated",74
"Sprat pâté, canned",8319
"Egg yolk, raw",8010
"Juice, diluted, with little sugar",9220
"Raisins, chocolate coated",3241
"Youghurt, with nuts or seeds, 2,5% fat (type 'Farmi')",8766
"Quark cream, 9% fat, Tere - unflavoured",86155
"Cottage cheese with sour cream, 6% fat (type 'Farmi', 'Ekstra')",5290
"Sour cherry / Sweet cherry, with stone",3060
Baton candy (Miisu),8595
Sour cherries / Sweet cherries,3690
"Margarine, lactose-free, 80% fat",4340
"Light mayonnaise, 3% fat, Felix",4232
"Youghurt, with berries or fruit, 2% fat (type Valio 'A+B')",86146
"Liquorice / Licorice, all sorts",160
"Beans, canned, on average, without liquid",8335
"White mini bun / baguette roll, pre-baked ('Leibur'), cooked",86455
"Röst, multigrain bun ('Leibur')",86637
Pineapple juice,3380
"Shrimps / Prawns, canned, in brine, drained",7340
Kale / Borecole,2350
"Soured / cultured milk, 2,5% - 3% fat (type 'Valio', 'Tere')",5170
Kohlrabi / Cabbage turnip / German turnip,2370
Swede / Rutabaga / Turnip,2175
Rice flakes,1591
"Quark cream, with fruit soup 1,8% - 2,7% fat (type 'Valio', 'Tere')",5167
Marzipan,1781
"Canned sprats, in oil",8264
Apricot jam,8634
"Canned sardines, with tomato",8246
"Beef kidney, raw",6860
"Biscuit with chocolate chips,(Jväshyvä)",8566
"Chocolate, dark, 56% cocoa (type 'Kalev')",8530
"Villi' chocolate ice cream with wafer, TKH",8574
"Quark cream, cocoa, 6,9% fat (type 'Farmi')",8776
"Cauliflower, steamed",24608
Squash,2780
"Milk, fat-free (0,05% - 0,1% fat) (type 'Valio')",5030
Salami,6680
"Quark cream, 4% fat, Tere - strawberry, banana, blueberry, peach",86136
Orange juice drink,3181
"Curd cheese, 1,0% fat",8239
"Rainbow trout, salted",7230
"Beef roast, raw",6230
"Orange, with peel",3170
Camomile infusion,9010_5
"Mayonnaise, 80% fat",4230
"Melon, different varieties",8671
Peanut butter,1921
Turkey ham,8649
Baking soda,9412
"Youghurt, unflavoured, 5% fat (type 'Farmi')",5065
"Soft tortilla, Santa Maria",8573
"Lavash / Armenian bread, thin (type Leibur 'Etnia')",8653
"Feta cheese, 25% fat",8488
"Cheese, very high fat (47,4% fat)",5250
"Quark / Curd cheese, light, with vanilla (type 'Farmi', Tere')",5158
Pomegranate,8395
Classic wholemeal bun ('Leibur'),86450
Walnuts,8361
"Quark cream, 2,5% fat (type 'Valio')",86209
"Smoked ham, light",8492
"Pork, rib meat, raw",6031
"Whole grain biscuit, with cocoa and chocolate chips, enriched (type 'Belvita')",1234
"Röst', from rye flour ('Leibur')",1094
"Chinese sauce, semi-sweet (type 'Spilva')",8591
Cakes,1781_1
Lingonberries,3400
Kama chocolate,8651
"Curry paste, red",8723
"Cheese spread, 22% fat",5360
"Milk chocolate, with nougat filling (type, 'Geisha')",194
"Perch, fresh",7140
Spice cake with honey (type 'Väike Väänik'),8782
Sour cherries,3690_1
Stawberry compote,8213
"Sausage 'Laste', Oskar",85920
Cherry jam,8390
Garlic bread snacks,8657
"Cottage cheese, with unflavoured Youghurt, 1,5% fat (type 'Farmi')",5280
"Chicken frankfurter (incl. smoked), 16% fat (type 'Tallegg')",6575
"Biovital vitamin drink, ready to drink",8580
Still natural mineral water,9150_5
"Pergale dark chocolate, with marzipan filling",8531
"Mixed mushrooms, fresh",2490
"Fondant candy, rum-flavoured (type Kalev 'Tõmmu')",8784
"Gurmaan' sandwich spread, 15% fat, Hea Meier - with culinary herbs, garlic and pepper, Fiesta spice",86212
"Bread 'Pööripäeva', Fazer",86182
"Beef tongue, raw",6890
"Cheese, 2% fat",5210
"Jalapeno, red, spicy, canned",8719
"Lavash / Armenian bread, thick, bread-like",8673
"Wholegrain muesli, with dried fruit (type 'Veski Mati')",1653
"Drinking Youghurt, with berries or fruit, 2,4% fat (type 'Farmi')",8760
Tomato and chilli sauce,8371
Grape juice,3231
"Caviar, black and red",6683
Aubergine / Eggplant / Brinjal,2310
Sour cherries,3060_1
"Chantarelles, fresh",2760
Jam of fruit / vegetables,3660_1
Oat bran,1545
"Wrap, with wheat wholemeal flour",1215
"Chickpeas / Garbanzo beans, dried, boiled",1755
"Root beer, low alcohol content",9140
Bun with whipped cream and jam,87031
Avocado / Butter pear / Alligator pear,3250
Kaerasüda' oat bread ('Leibur),1547
"Cranberries, dried, sweetened",8643
"Chocolate candy, with marzipan filling",76
Mozzarella cheese,5231
Spinach,2400
Pesto sauce,8728
"Rye crisps, sweet chili (type 'Ruissipsi')",2022
"Plum, with stone",3040
"Wholemeal pasta, boiled",1190
"Feta cheese, 16% fat",5760
Rocket salad / Arugula,2401
"Quark cream, plain, 3% fat (type 'Valio')",86208
"Marmelade spread, on average",3540
Rye flour,1000
"Pork minced meat, raw, 17,4% fat",8529
"Natural barbeque sausage, 30% fat, Rakvere",6656
"Chocolate, dark, with marzipan and plum in madeira filling (type 'Anthon Berg')",52
Apple compote,8297
Hemp seeds,3243_1
Apple pie from yeast pastry dough,8589
"Saib', with carrot ('Leibur')",1213
"Raspberries, frozen",8260
Cider,9110
"Jam, on average, reduced sugar",3550
"Quark cream, with berries or fruit, 4% fat (type 'Valio', 'Tere')",86162
"Chicken drumsticks, marinated, cheese or Youghurt-dill flavoured, raw (type 'Tallegg')",6493
Mango,3330
Smoked cheese,5241
