ingr_descr_eng,ingr_code
"Pork minced meat, raw, 20% fat",8494
"Milk chocolate, with milk filling (type 'Kinder')",193
"Pudding, 2,0% fat",5481
"Liver pâté, from beef liver, 30% fat",8348
Bouillon powder,9390
"Yeast - puff pastry, baked",8753
"Chicken frankfurter, 4,5% fat (type 'Tallegg')",6514
"Puff pastry, frozen",8555
Pumpkin,2560
"Rainbow trout, farmed, fresh",7411
"Nuts, on average",1770
Linseed / flaxseed oil,4180
Sorrel / Dock / Sour grass,8271
"Beef, chuck with bone, raw",6240
Muffin pre-mix dry (type 'Vilma'),1952
"Jelly, industry-made (type 'Farmi', incl. 'Jänks')",86164
Cloudberries,3490
Cherry tomatoes,2570_2
"Cheese spread, 24% fat (type 'Farmi')",5366
Mung bean sprouts,1760
"Juice concentrate, without sugar",3560
"Celery, leaves",2470
"Beans, red, dried",8456
Florence fennel,2472
"Milk chocolate, with nougat filling (type, 'Kinder Bueno')",194_1
Cooked sausage 'Doktor' (type 'Vastse-Kuuste'),6582
"Cottage cheese, 2,0% fat",5270
Mustard sauce (type 'Salvest'),4237
"Wholemeal pasta, dry ingredient",1180
Fat Burner sports drink,55
"Coconut milk, canned",8725
"Chilli sauce, sweet",8720
"Whey+, powder",43
Blueberry jam,8282
"Chicken fillet, marinated (type 'Tallegg')",6475
"Liver pate, 15% fat (type 'Rakvere')",8343
"Sausage, 'Laste', Ranna",85867
"Quark / Curd cheese, light, with raisins (type 'Farmi', Tere')",5159
Carrot juice,2115
"Smoked fish, on average",7290
"Chicken breast, with skin, raw (type 'Tallegg')",6579
Cornmeal / Cornflour,8440
"Fish sauce, mayo based",8724
"Pudding, 3,0% fat",8278
"Runda Bords margarine, 60% fat",8524
"Apple puree, reduced sugar",3680
"Cabbage, red",2320
"Zephir, industry-made",8682
"Chicken thigh, with skin, raw (type 'Tallegg')",6458
"Dip, 18,5% fat, Tere  garlic-cheese",86153
Canned pork,6130
"Quark cream, with jam, 4,5% - 5% fat (type 'Farmi', 'Valio')",8769
"Vinegar, wine",8332_1
"Nori seaweed sheets, dried",86220
"Rice grain, glutinous",1570_8
White sugar,10_1
"Ginger root, fresh",2191
"Broiler, smoked (type 'Tallegg')",6570
"Broccoli, steamed",24609
Grapefruit juice,3210
"Buttermilk, 0,5% fat (type 'Farmi', 'Tere')",5181
"Green olives, canned",2770
"Youghurt, with berries or fruit, 2,5% fat (type Tere 'Natural')",5073
"Chicken fillet roll, smoked or delicacy roulade (type 'Tallegg')",6510
Thai sauce,8684
"Bamboo shoots, canned, drained",8444
Rice paper,1571
"Campfire sausage, 12% fat, Rakvere",6655
"Minced meat, pork-beef, raw, 7% fat (type 'Rakvere')",6213
Rum balls,24606
"Chicken leg, seasoned, raw (type 'Tallegg')",6494
"Chocolate, white",8650
Champagne,9550
"Beans, white, boiled",1891
"Canned spicy sprat, cleaned, without liquid",7400
Sweet and sour sauce (type Uncle Ben's),8570
"Wine, red",9500
Lentil sprouts / Sprouted lentils,8448
"Soya schnitzel, dry",8564
Lemon pepper,8707
"Saida, frozen, melted",7060
"Beer, medium alcohol content",9020
Baton candy (type Kalev 'Kirju koer'),8796
"Pork, minced meat, 30% (type 'Rakvere', 'Maks & Moorits') fat",6216
"Gin, long drink",9035
"Potato, with peel, raw (not peeled)",2002
"Pork meat, collar / chops, with bone, raw",6010
Balsamic vinegar,9461
"Sweet pepper / Bell pepper / Capsicum, yellow",8365
"Quark paste with berries or fruits, Fat 4,2%, fortified with vitamin D",51631
Soija90 - soya protein isolate,8644
"Wine, white, dry",9520
"Mixed mushrooms, canned, without liquid",8336
"Wild boar meat, cooked",8288
"Banana, dried",8382
Pork lard,4071
"Muscle+, powder",34
"Broiler meat, with skin, raw",6453
"Chocolate coated marzipan, Kalev",8560
"Quark cream, with berries or fruit, 4,2% fat (type 'Tere')",5163
Finn Crisp' crisp bread,8311
"Edam cheese, 24% fat",5310
"Energy drink, with sugar",8642
"Acidophilus soured milk, 1% fat (type 'Tere')",8548
Pro-Fx Protein Bar,58
Barley rolled grains,1520
"Cod, fresh",8515
Peach juice,8307
"Sweet pepper, roasted",8301
"Broiler liver, raw (type 'Tallegg')",6850
"Hematogen, plain",8549
"Butter-oil-water mix, 50% fat",4310
"Beans, dried, on average",1740
"Margarine spread, 45% fat",8605
Ground coffee / Coffee powder,9380
"Cheese spread, 9% fat",5380
"Vegetable mix, marinated",2550
"Röst', 3-grain bread ('Leibur')",86654
Rice flour,8516
Sweet christmas bread,1050
"Millac Gold' cream alternative, 33,5% fat",8730
"Tallinn' fine rye bread, square form ('Leibur')",86420
"Quark cream, raisin, 5% fat, Tere",86157
Pro-Fx Zero Carb sports drink,57
"Herring fillet, fried, with tomato marinade",8677
Marinated / pickled fish,7010_2
Pineapple-lime smoothie,8658
"Chicken barbecue, classic or lightly salted, raw (type 'Tallegg')",6488
"Mutton roast, raw",6400
"Whole grain biscuit, 5-grain, enriched ('Belvita')",1235
"Youghurt, with berries or fruit, fat-free (type Valio 'Light+')",86189
Wholemeal crisp bread,1270
"Cottage cheese, fat-free (type 'Farmi', 'Tere', 'Valio'))",5260
"McFlurry Smarties ice cream, McDonald's",M7
Pine nuts,8519
"Sausage 'Laste', fillet",85919
Cornstarch / Cornflour / Maize starch,1621
Saib' portion bread ('Leibur'),1212
"Tea powder, soluble, with sugar",8666
"Chicken liver pate, delicacy (type 'Tallegg')",6516
Rum,8577
"Youghurt, low-fat, <1% fat",5713
"Wine, white, sweet",9540
Bounty' chocolate,8629
"Beets, boiled",8227
Mini muffin,1953
"Blood dumpling, raw",8244
"Chicken wok, Beijing or Singapore style, raw (type 'Tallegg')",6499
"Endive, curly",8438
"Celery, stem",2471
"Cream cheese, 8% fat",8490
"Butter and vegetable oil mix, very salty, 80% fat",4360
Pickled / marinated vegetables,2140_1
"Pumpkin seeds, dried",8404
"Turkey, without skin, raw",6761
"Beer, pilsner",9130
Vodka,9780
Canned beef,6320
"Pork, feet or trotters (tüüp 'Rakvere')",6043
"Edam cheese, 10% fat",5300
Ham pâté,8346
"Coffee powder, soluble",9370
"Blue Castello blue cheese, 45% fat",8484
"Pike-pearch / Pikepearch / Zander, fresh",7100
Tomato juice,2650
"Philadelphia cream cheese, extra light, 5% fat",5381
"Prode90, powder",47
Salmon pâté,8511
"Milk, lactose-free, 0,1% fat",5031
"French oil dressing for salads, 73% fat",4300
"Camembert white cheese, 23% fat",8487
Peanuts,1920
"Cottage cheese, with pickles and dill, 3% fat (type 'Valio')",5272
Sea buckthorns,3530
"Chicken minced meat, raw (type 'Tallegg')",6467
"Swede / Rutabaga, boiled",8298
Redcurrant jam,8272
"Beer, high alcohol content",9030
"Rusk, with wheat flour and raisins",1281
"Beef, tenderloin, raw (type 'Rakvere')",6311
Sugar-snap peas / Snow peas / Mangetouts,8387
"Wine, white, semi-sweet",9530
Cashew nuts,8432
"Italian dressing for salads, light, 0,5% fat",8569
Hot and sweet sauce,8683
Wheat brans,1240
Wholemeal white bread,86180
Chicken cigar (type 'Tallegg'),6515
Lime blossoms infusion,9090_5
Sweet pepper/ Bell pepper powder,2591
Chicken Tikka seasoning mix,8714
"Chicken fillet, lightly salted (type 'Tallegg')",6470
Dietmix powder,38
"Cheese, very low-fat (10% fat)",5220
Sorbitol (E420),100
"Quark cream, with berries or fruit, 5,9% fat (type 'Farmi')",8775
"Carrot, boiled",2220
"Peanut dragees, sugar coated",75
"Mandarines, canned, in sugared water",8732
"Rainbow trout, smoked",7430
"White beans, in tomato sauce, canned",8339
"Baby cookie/biscuit, BIO, baby food, HiPP",86297
White mould cheese,5740
"Deep-frozen pizza base ready for use, with crushed tomatoes",8741
Orange zest / Orange peel,8375
Rice grain,1570_1
"Bouillon powder, fish",8424
"Oysters, canned, in water",7420
"Shrimps / Prawns, frozen",7341
"Ricotta quark, 8% fat (type 'Estover')",5232
"Onion, dried",2440
"Salmon, smoked",7200
Wild strawberries,3471
"Pangasius / Pangas / Panga / Bassa / Basa, fillet, frozen",7054
"Pomelo / Pummelo / Pommelo, with peel",3201
"Baltic herring, fresh, uncleaned",7000
Toolse' rye bread ('Leibur'),86424
Seemne Ruks rye bread ('Leibur'),1092
"Beer, non-alcoholic",9021
"Green beans / Snap beans / Wax beans / String beans / French beans, boiled, without salt",1720
Crisp bread,1020
"Pineapple, dried, candied (type 'Germund')",3161
"Yeast - puff pastry dough, unbaked",8752
Gooseberry jam,8274
"Turkish Youghurt / Greek Youghurt, 10% fat, unflavoured (type 'Lindahls')",5066
"Chilli, yellow, sliced, canned",8718
Pasta Basilico seasoning,8715
"Home-style Christmas ham, (type 'Rakvere'`)",6042
"Crab, canned, without liquid",8510
"Chicken drumsticks, with skin, raw (type 'Tallegg', 'Rannamõisa')",6459
"Liquor, 19% alcohol",9710
Coconut oil / Coconut fat / Coconut butter,4080
Banana chips,3361
"Capers, canned",2771
"Goat cheese, 30% fat, hard",8473
Grapefruit,3370
"Cream for cooking, 27% fat",8466
"Fish, dried",8245
Walnut oil,4200
"Peach, dried",8415
"Bread cheese, 17% fat",5390
"Summer gingerbread with bits of orange, Marmiton",1232
"Chicken thigh, seasoned, raw (tüüp 'Tallegg')",6497
"Puff pastry, with vanilla cream and jam",87530
Rye flakes,1060
Cornmeal / Corn meal / Polenta,1631
"Pike, fresh",7150
Õige Must' rye bread with seeds ('Leibur'),86429
"Coconut flakes, desiccated",1935
"Wine, pink",9510
Chicken dumplings (type 'Talllegg'),6512
Rusk,1070
Garam masala seasoning mix,2442
"Whey3, powder",39
Salt-preserved fish,7130_3
"Tomatoes, canned",2571
Wheat flakes,1140
Blackberries,8377
Leaf beet / Swiss  chard / Mangold / Spinach beet,8386
Dried pasta,8518_3
"Cauliflower, boiled, without salt",2740
"Chicken fillet, marinated, Youghurt-dill flavoured, raw (type 'Tallegg')",6472
Recovery & Protein sports drink,65
Rice drink,1832
"Quinoa, cooked",1993
Chia seeds,3243
"Soya beans, boiled",1800
"Delicacy minced beef, 6% fat, (type 'Rakvere')",6214
"Mustard sauce for salads, 50% fat",4301
"Malto6, powder",48
Tallinn' rye bread with whole grains ('Leibur'),86171
"Cottage cheese, with cloudberry jam, 5% fat (type 'Valio')",5271
"Whey powder, 1,3% fat",5452
Raw buckwheat,1611
"Dried slices of chicken ham, seasoned (type Tallegg \Chicken Chips)'",6523
Chicken roulade (tüüp 'Tallegg'),6511
Quinoa,1992
"Liquor, on average",9080
"Duck, with skin, raw",8496
"Energy drink, without sugar",8641
"Turkey fillet, cooked",8501
"Rose hip tea, ready-to-drink, without sugar",8259
Wild boar liver,6820_1
"Lavash, thick",86177
"Couscous, dry ingredient",8578
"Chicken breast, seasoned, raw (type 'Tallegg')",6492
Cognac / Brandy,9760
"Sports drink, powder",36
"Thyme, dried",8704
Caraway seeds / Meridian Fennel / Persian cumin,8331
Linseed / Flaxseed,1820
Brazil nuts,8360
Meat seasoning,8699
Apricot nectar,3071
"Crab, boiled",8509
"Canned herring, without liquid",7450
"Quail egg, boiled",8606
Plum compote,8305
"Chicken breast, with skin, smoked (type 'Tallegg')",6519
Summer squashes,8668
Carrot bread (type 'Karja Pagariäri'),8617
"Kefir / Kephir, 1% fat (type Tere 'Mumuu')",5051
"Goat cheese, 30% fat, semi-soft",8472
"Brussel sprouts, cooked",2361
"Oatly oat drink, fortified",86229
Dried strawberry chips,3472
"Lentils / Daals / Dals, dried",1840
"Cod roe, raw",6681
"Chilli pepper, fresh",8442
Parsnip,2160
Rice vinegar,9462
"Baltic herring, smoked",7020
Natural mineral water,9150_4
"Coconut milk, canned, light",1936
Chili con Carne seasoning mix,8727
"Glucose tablets with vitamin C, berry or fruit flavoured",19
"Grapefruit, with peel",3200
"Instant oatmeal, with dried fruit or berries, powder (type 'Veski Mati')",1541
"Cherry compote, without stones",8229
Pistachio nuts,8403
"Broiler leg, without skin, with bones, raw",6951
"Rosemary, fresh",2413
"Dates, dried",3270
Dates,8435
Maple syrup,101
Flax flour (Paali farmstead),8751
Curry powder,8705
"Garlic, marinated, in oil",2443
Brown cane sugar,10_5
"Chocolate, without sugar",130
Buckwheat flour,8583
Hemp seed oil,4170
Apple vinegar / Wine vinegar,8332
"Figs, dried",3260
"Sweetened short pastry (margarine for cooking 80% fat), unbaked",8636
Rye toast bun ('Fazer'),86639
"Beans, white, dried",1890
"Camembert white cheese, 11% fat",8486
"Whey+, powder",44
Radicchio,2384_1
"Zephir, chocolate coated, industry-made",8781
"Liquor, 29% alcohol",9720
"Youghurt shake, berry or fruit-flavoured, 3% fat (type Farmi 'Jänks')",8763
"Sponge cake, with cocoa, baked",8631
Caramel sauce (type 'Schwartau'),5009
"Milk drink, with chocolate",8475
"Mutton, breast, raw",6381
"Chicken leg, without skin, raw",6463
"Youghurt, with berries or fruit, fat-free (type 'Valio')",86207
Oyster sauce,8721
"Chicken barbecue, raw (type 'Tallegg')",6490
"Norway haddock, smoked",7080
Chocolate cream pastry,24605
"Chicken burger or chicken meatball, pre-cooked (type 'Tallegg')",6572
"Mixed mushrooms, salted",2500
"Chicken smoked sausage, 16,5% fat (type 'Tallegg')",6566
"Multivitamin juice (100%), baby food, HiPP",86306
"Juice concentrate, black currant",3510_1
Potato seasoning mix,8697
"Kidney, raw",6970
"Mango puree, baby food, Semper",86581
Sweet corn puffs,8660
Pecans,8431
"Valla' meat jelly sausage, Rakvere",8459
"Youghurt, with probiotic bacteria, natural, 3,3% fat (type Danone 'Activia')",86217
"Rye bread, fortified with vitamin D ('Leibur')",87033
"Chicken fillet, with skin, lightly salted or seasoned, raw (type 'Tallegg')",6469
"Pearl onions, marinated",2439
"Cream Youghurt, with berries or fruit, lactose-free, 5% fat (type Tere 'La Crema')",8779
Drinking water,9150_1
Damson plum,8434
Cloudberry jam,8388
"Wine, light",9040
Whey,5453
Balt-fitness cereal bar mix,8738
Buckwheat crackers (type 'Dr Nature'),8621
"Brie white cheese, 28% fat",8485
"Sweet pepper, canned, with liquid",8366
Advantame,10_4
"Quark cream, pasha flavoured ('Tere')",8756
"Pork, ham with rind, raw (tüüp 'Rakvere', 'Maks & Moorits')",6040
"Chilli pepper, ground",8708
"Cracker, low fat",1470
"Õnne' rye bread with whole grains, Õnne Pagar",86186
Pizza base Etnia ('Leibur'),14262
"Fruit puree with muesli, baby food, Bebivita",86273
"Baltic herring, fresh",7380
"Soy drink, 1,8% fat, unflavoured, enriched with Ca and vitamins (type 'Alpro')",1831
"Soya flour, full-fat",1790
"Broccoli, frozen",8385
"Hera 80, unflavoured, powder",32
"Lentils / Daals / Dals, boiled",8452
"European whitefish, salted",7120
"Melon, different varieties, with peel",8672
Emmental cheese,5320
"Pork, tenderloin, raw (type 'Rakvere', 'Maks & Moorits')",6091
Röst' oat roll ('Leibur'),1546
Aronia berries,3451
"Ginger, dried, ground",8717
"Dewberries, frozen",8378
"Elk meat roast, raw",6520
"Eel, smoked",8277
Wheatgrass,8588
Fruit juices (100% from named source),3010_2
"Beef, striploin, raw (type 'Rakvere')",6310
"Ramsons, raw",2417
"Cereal grain beverage, coffee substitute, powder",8108
"Delicate liver pâté, (type 'Rakvere')",8347
"Beef heart, raw",6880
Cranberry jam,8633
"Cod liver, canned",7062
"Bream, fresh",7160
Gooseberry compote,8219
Trimm' bread with seeds ('Leibur'),1951
Hake,7051
"Dumplings, with whole milk",8303
"Creme Fraiche cream, 17% fat",8464
"Mixed vegetable juice, canned",2610
"Chicken roast, classic, festive or tex-mex, raw (type 'Tallegg')",6480
"Coriander, fresh",2416
Vegetable puree or paste,2591_1
"Mackerel, smoked",7390
"Lamb, neck, raw",6401
"Mixed flour, without gluten",1101
"Rosemary, dried",8712
"Noodle, rice",1570_4
"Wheat grains, soft",8586
"Youghurt ice cream, 6% fat",8572
Horseradish,2190
"Whole grain semolina, dry ingredient",1130
Rhubarb jam,8296
"Rabbit meat, raw",6500
Cooked cured (or seasoned) bovine meat,6160_1
"Liver pate, from beef liver, 7% fat",8220
"Quark dessert, baked, with raisins (type 'Farmi')",8758
"Salmon, fresh, farmed",7191
Baltic herring rolls in Saaremaa sauce,85751
Chick snack,MINU194103
"Four grain breakfast cereal, Balsnack",1633
Pancake flour,8603
Scorzonera / Black salsify / Spanish salsify / Vegetable oyster,2181
"Milk, lactose-free, 1,9% fat",5191
Aroma salt,8700
Stinging nettle,2420
"Nectar, banana",3120_10
Liver sausage,6690
"Sugar pretzels, from shortcrust pastry",8793
"Caramel candy, without sugar",120
"Whitefish, smoked",7180
Goat milk,8471
Salted seafood,7010_1
Barbecue sauce,8590
"Chicken barbecue, mild or Georgian, raw (type 'Tallegg')",6489
"Oregano, dried",2415
Nut butter,8286
"Sports Protein Bar or Dietmix bar, different flavours",64
Goji berries,3242
"Veal, on average, raw",6330
"Fruit soft drink, currant red",3182_12
Mixed fruit nectars,3120_13
Kama balls,8654
"Whole grain bun, Hagar",86213
Jaffa' cakes,8568
Canned meat,8496_1
"River lamprey, smoked",7260
"Apricots, canned, in syrup, drained",3080
"Whitefish, fresh",7170
"Quark cream, with berries or fruit, fat-free (type 'Valio')",86161
"Cream for cooking, 15% fat",8465
Tofu,1801
Teriyaki sauce,8722
Saffron milk cap,2490_1
"Curry, with lemon taste",8706
"Meat and vegetable soup, clear",8422_1
Orange marmelade,8374
Sesame paste (tahini) (sesamus indicum),1810_1
Flowering quince,3196
Corn oil,4120
Peanut oil,4110
Fortified bottled water,9150_11
"Sweet potato, boiled",8544
"Carrots, canned",8460
"Juice, mixed fruit",3120_7
"Soya flour, low-fat",1940
Whiskey,9770
Wheat crisp bread,1260
Anglerfish and monkfish,7100_2
"Baltic herring, salted",7010
Quail egg,8295
Marinated meat,6012_1
Canned pork and beef,6590
"Turkey, with skin, raw",6760
Saiö' wheat bread ('Leibur'),86438
"Non-fermented tea, infusion",9010_2
"Sugar, icing - powder",10_2
Rooibos infusion,9010_7
"Cod, frozen, melted",7050
"Lingonberry jam, raw",3670
"Vegetable puree with cream, BIO, baby food, HiPP",86314
"Wine, strong",9050
"Sweet potato, raw",8542
"Vermouth, sweet",9650
"Quark cream, with raisins, 5% fat, fortified with vitamin D (type 'Tere')",51630
"Veal liver, raw",6800
"Yeast pastry dough, unbaked",8735
"Soured / cultured milk, 4% fat (type 'Farmi')",5171
"Chicken half-wings, lightly salted, raw (type 'Tallegg')",6484
Millet flour,1102
"Rye crisps, barbecue-flavoured, Linkosuo",1021
Soya Youghurt,8468
After Eight chocolates,8670
Grated rye bread,1030
"Bread, gluten-free",1214
"Canned sardines, with oil",7320
"Chicken thighs, marinated, classic, raw (type 'Tallegg')",6498
"Dip, 9% fat, Mumuu, Põlva Piim  greek, tomato",86203
"Rye flour, whole grain (type 1800)",1003
Coriander seeds,2594
Salad dressing,4150_5
"Röst', bread with oats and apple, Leibur",1548
Blackberry jam,8379
Fish roe,6681_1
"Põnn' vegetable puree soup with chicken fillet, baby food, Salvest",86238
Instant coffee (beverage),9000_2
"Hot chocolate, McDonalds",M12
"Juice concentrate, with average sugar content",3570
Herbal and other non-tea infusions,9010_4
Traditional sour milk products,5170_1
"Rice grain, long-grain",1570_3
Raspberry compote,8215
Pastila,8276
Quark-filled dumplings,8659
"Figs, fresh",8408
"Juice, mango",3120_5
"Mussels, canned, drained",7053
Chocolate,50
"Condensed milk, without sugar",8474
"Field beans, dried",8446
"Processed cheese, sliceable",2670_3
"Beef sausage, 20% fat (type 'Rakvere')",6654
"Cereal bar, with fruit, fortified with vitamins and iron (type Rimi 'Right Balance')",1654
Soya oil,4130
"Nutmeg, ground",8710
Halibut,7210_1
Miso paste,8451
Other plant oils,4150_4
"Mutton, with bone, raw",6380
Almond mass,8534
"Youghurt, 2,8% fat, pineapple and basil",8680
Soya sausage,8458
Wheat germ,1151
"Oat flour, whole grain (type 'Veski Mati')",1106
Herb salt,9420
Peppermint,8333
Cress,8439
Ceps,2490_2
"Pea-carrot mix, canned",8447
"Chicken wings, smoked (type 'Tallegg')",6569
"Chicken drumsticks, seasoned or lingonberry-flavoured, raw (type 'Tallegg')",6482
"Youghurt drink, with berries or fruit, with inulin, 1,4% fat (type Farmi 'Basic')",8762
Nectarines,8238_1
Maté infusion,9010_6
Canned/jarred vegetables,8372_1
"Veal, shoulder, raw",6730
"Soya beans, dried",1830
"European whitefish, smoked",7130
Sheep other slaughtering products,6890_2
Grape leaves,2300_1
"Sponge cake, baked",8630
"Frog legs, raw",8507
"Endive, broad-leaved",8437
"Chicken fillet barbeque sausage, 15% fat, Rakvere",6653
"Saithe, raw",7059
"Soija90, powder",49
"Chicken barbecue sausage, raw (type 'Tallegg')",6568
Hibiscus infusion,9090_4
"Cayenne pepper, ground",8481
Deer fresh meat,6440_1
Field beans,8445
"Pork, class E, raw",6001
"Dumplings, 13% fat, uncooked (type 'Rakvere')",6212
"Burbot, fresh",7151
Tea infusion with added flavouring ingredients,9010_3
"Vegetable puree, BIO, baby food, HiPP",86313
Bovine and pig fresh meat,6220_1
"Chicken wings, with skin, raw (type 'Tallegg')",6461
Blackcurrant compote,8217
Pumpkin seed oil,4181
Alfalfa sprouts,1151_1
"Halibut, smoked",7090
Meringue,8250
Globe artichokes and similar-,2781_2
Asparagus,8368
"Juice, red currant",3120_3
"Sweetened short pastry (margarine for cooking 80% fat), baked",8635
Wheat sprouts,1150
Fruit infusion,9090_3
"Vermouth, dry",9640
Duck eggs,8030_2
Macadamia integrifolia,1770_1
"Turmeric / Indian Saffron, dried, ground",8711
"Sea trout / Brown trout, fresh",7240
Cardamom,2593
Papaya / Pawpaw,8393
Sea salt,9410_1
"Frankfurter / big frankfurter, fried without oil",842141
"Scallop, raw",7058
"Aspartame, powder (E951)",151
Wine and wine-like drinks,9510_1
Glucose-fructose syrup,22
"European whitefish roe, raw",7330
"Turkey, breast meat, raw",6762
"Broiler neck, raw (type 'Tallegg')",6830
"Apple puree, without sugar",3681
"Flounder, fresh",7210
"Beans, brown, dried",1880
"Deer, minced meat",6214_1
Barley sausage,6670
Jostaberries,3440_1
Sheep liver,6810_3
"Veal roast, raw",6340
Dandelion leaves,8294
Mixed vegetable salad,2320_1
Ring-shaped sausage,6650
Oat high-bran flakes,1540_3
Chicory coffee infusion,9000_3
Soya flakes,1791
"Chicken wings or half-wings, marinated, classic, raw (type 'Tallegg')",6485
Multigrain flour mix (type 'Veski Mati'),1104
"Mixed vegetables soup, clear",8425_2
"Yoghurt, cow milk",86146_1
"Juice concentrate, red currant",3120_19
"Chicken barbecue, with Youghurt, raw (type 'Tallegg')",6491
Beet juice,2141
"Sweet pepper / Bell pepper / Capsicum, green",8364
"Meat soup, with pieces",7053_1
Compote of fruit / vegetables,8229_1
Maias' chocolate bun ('Leibur'),85618
"Chicory coffe, instant powder",9381
"Mixed grains porridge, powder, baby food, Celia",86553
Palm oil,4190
Pig tongue,6890_1
"Corn / Maize, frozen",2730
Grape seed oil,4150_2
"NAN 3 milk powder, baby food, Nestle",86413
"Barbeque sausage 'Juubeli', 27% fat, Rakvere",6652
Peach juice drink,8308
"Beans, red, dried, boiled",8457
"Sucralose, powder (E955)",69
"Vegetable soup with chicken, BIO, baby food, HiPP",86367
"European whitefish, fresh",7460
"Chicken cooked sausage, smoked, 8,5% fat (type 'Tallegg')",6565
"Pork, striploin with rind, raw (type 'Maks & Moorits')",6092
"Goose, without skin, raw",8499
Coconut,8359
Jerusalem artichoke / Sunchoke /  Topinambur / Sunroot / Earth apple,2170
"Plums, canned, without stone",8400
"Nutilis food and fluid thickener, powder",8689
"Dumplings, whole grain, with smoked meat",6217
Goat fresh meat,6240_1
Wheat groats,1600_3
Smoked herring,7021_1
"Sage, fresh",2418
Rose hips / Rosehips,3141
Dried vine fruits (raisins etc.),3241_2
"Baltic herring, smoked, uncleaned",7021
"Fructose, powder",110
Catfishes (freshwater),7100_1
Oca,2300_2
Whitefish roe,7171
"Leek, dried",2451
"Chicken thigh, pineapple flavoured, raw (type 'Tallegg')",6477
"Turkey, minced meat",6210_1
Brussels sprouts,2360
"Fish balls, frozen",8505
"Salmon roe, pacific",6683_1
"Carrot, dried",2111
"Beef, hock, raw",6251
"Beans, dried, boiled, on average",1750
"Juice, lime",3194_2
Durum wheat flour / Durum semolina,1103
"Rice, puffed",1590
"Whey drink, functional, fat-free (type Farmi 'Basic')",8764
