age_range,pop.male,pop.female
0-4,7509803,7339220
5-9,7480136.5,7324093
10-14,7928188.5,7775820
15-19,8565021,8421371.5
20-24,8687823,8581543
25-29,8576315.5,8529179
30-34,8707745.5,8728359
35-39,8292781.5,8374046.5
40-44,7252954,7386378
45-49,6511571,6701899
50-54,6006188,6248763.5
55-59,5139255,5410415.5
60-64,4078535,4361499.5
65-69,3058776.5,3339642.5
70-74,2070023.5,2329577
75-79,1367067.5,1612165
80-84,821629,1028107.5
85-89,379467,526385
90-94,142433,216854
95-99,34112.5,56136.5
100+,4337,7533